ensembl_id,gene_symbol,entrez_id,log2FoldChange,pvalue,padj,sig
ENSG00000120659,TNFSF11,8600,4.746591038,5.2e-12,1.41e-10,Up
ENSG00000171860,C3AR1,719,2.336222596,5.26e-12,1.42e-10,Up
ENSG00000135838,NPL,80896,1.707867148,5.36e-12,1.45e-10,Up
ENSG00000271856,LINC01215,101929623,5.278763519,5.47e-12,1.47e-10,Up
ENSG00000115902,SLC1A4,6509,1.707302564,5.64e-12,1.52e-10,Up
ENSG00000128604,IRF5,3663,1.791371614,5.71e-12,1.53e-10,Up
ENSG00000164308,ERAP2,64167,2.019767831,5.92e-12,1.58e-10,Up
ENSG00000077238,IL4R,3566,1.634244734,6.09e-12,1.62e-10,Up
ENSG00000139618,BRCA2,675,2.476926701,6.37e-12,1.68e-10,Up
ENSG00000146285,SCML4,256380,3.411229661,6.41e-12,1.69e-10,Up
ENSG00000109790,KLHL5,51088,1.047209778,6.75e-12,1.78e-10,Up
ENSG00000146410,MTFR2,113115,3.035929176,6.81e-12,1.79e-10,Up
ENSG00000100473,COCH,1690,2.022197844,7.22e-12,1.88e-10,Up
ENSG00000154065,ANKRD29,147463,1.964646206,7.59e-12,1.97e-10,Up
ENSG00000047457,CP,1356,1.517291559,7.6e-12,1.97e-10,Up
ENSG00000163376,KBTBD8,84541,3.368597795,7.83e-12,2.03e-10,Up
ENSG00000231858,LOC105373805,105373805,2.841149361,7.91e-12,2.04e-10,Up
ENSG00000111537,IFNG,3458,3.222472371,7.93e-12,2.04e-10,Up
ENSG00000168961,LGALS9,3965,1.833308207,7.86e-12,2.04e-10,Up
ENSG00000073737,DHRS9,10170,3.581608287,8e-12,2.06e-10,Up
ENSG00000256594,LOC374443,374443,1.723436822,8e-12,2.06e-10,Up
ENSG00000168685,IL7R,3575,3.16864099,8.08e-12,2.08e-10,Up
ENSG00000243753,HLA-L,3139,2.089459136,8.15e-12,2.09e-10,Up
